CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesas
352543;OPERADORA_NAO_IDENTIFICADA;4;2024;1706264488.66
364860;OPERADORA_NAO_IDENTIFICADA;4;2024;2156421912.79
342131;OPERADORA_NAO_IDENTIFICADA;4;2024;677124069.42
342033;OPERADORA_NAO_IDENTIFICADA;4;2024;7737701299.63
321931;OPERADORA_NAO_IDENTIFICADA;4;2024;2444898521.60
421464;OPERADORA_NAO_IDENTIFICADA;4;2024;9016827.79
420239;OPERADORA_NAO_IDENTIFICADA;4;2024;6294728.30
415774;OPERADORA_NAO_IDENTIFICADA;4;2024;1707003392.89
423874;OPERADORA_NAO_IDENTIFICADA;4;2024;2635441.28
349712;OPERADORA_NAO_IDENTIFICADA;4;2024;3541710317.56
000477;OPERADORA_NAO_IDENTIFICADA;4;2024;13467871067.72
419061;OPERADORA_NAO_IDENTIFICADA;4;2024;1906684.48
347302;OPERADORA_NAO_IDENTIFICADA;4;2024;17092374.91
406414;OPERADORA_NAO_IDENTIFICADA;4;2024;47777193.83
419991;OPERADORA_NAO_IDENTIFICADA;4;2024;354668.24
423271;OPERADORA_NAO_IDENTIFICADA;4;2024;89962426.48
337374;OPERADORA_NAO_IDENTIFICADA;4;2024;2579028173.13
366340;OPERADORA_NAO_IDENTIFICADA;4;2024;721462750.62
303356;OPERADORA_NAO_IDENTIFICADA;4;2024;6157001002.82
411809;OPERADORA_NAO_IDENTIFICADA;4;2024;125188058.67
301647;OPERADORA_NAO_IDENTIFICADA;4;2024;8880657.66
423173;OPERADORA_NAO_IDENTIFICADA;4;2024;2434872560.13
422941;OPERADORA_NAO_IDENTIFICADA;4;2024;23204659.12
352314;OPERADORA_NAO_IDENTIFICADA;4;2024;806774164.66
326305;OPERADORA_NAO_IDENTIFICADA;4;2024;215480479608.59
343919;OPERADORA_NAO_IDENTIFICADA;4;2024;12541448.69
362824;OPERADORA_NAO_IDENTIFICADA;4;2024;8534466.31
303739;OPERADORA_NAO_IDENTIFICADA;4;2024;1860219578.38
418439;OPERADORA_NAO_IDENTIFICADA;4;2024;32804609.36
405582;OPERADORA_NAO_IDENTIFICADA;4;2024;1843383.68
360414;OPERADORA_NAO_IDENTIFICADA;4;2024;558442265.06
343064;OPERADORA_NAO_IDENTIFICADA;4;2024;705077506.58
423645;OPERADORA_NAO_IDENTIFICADA;4;2024;32837148.96
418030;OPERADORA_NAO_IDENTIFICADA;4;2024;28372743.12
422878;OPERADORA_NAO_IDENTIFICADA;4;2024;4977749.50
346659;OPERADORA_NAO_IDENTIFICADA;4;2024;69100138916.58
386596;OPERADORA_NAO_IDENTIFICADA;4;2024;1202084962.54
306762;OPERADORA_NAO_IDENTIFICADA;4;2024;1865586300.60
417955;OPERADORA_NAO_IDENTIFICADA;4;2024;654342759.63
417581;OPERADORA_NAO_IDENTIFICADA;4;2024;89570608.82
421847;OPERADORA_NAO_IDENTIFICADA;4;2024;8
402010;OPERADORA_NAO_IDENTIFICADA;4;2024;23391936.48
419281;OPERADORA_NAO_IDENTIFICADA;4;2024;405484391.09
324159;OPERADORA_NAO_IDENTIFICADA;4;2024;678958641.56
418960;OPERADORA_NAO_IDENTIFICADA;4;2024;335654931.46
401463;OPERADORA_NAO_IDENTIFICADA;4;2024;18081423.04
420085;OPERADORA_NAO_IDENTIFICADA;4;2024;200550414.88
349011;OPERADORA_NAO_IDENTIFICADA;4;2024;31204225.60
353027;OPERADORA_NAO_IDENTIFICADA;4;2024;905074040.30
320706;OPERADORA_NAO_IDENTIFICADA;4;2024;4120612910.11
423327;OPERADORA_NAO_IDENTIFICADA;4;2024;289785.52
326861;OPERADORA_NAO_IDENTIFICADA;4;2024;3527925814.22
419818;OPERADORA_NAO_IDENTIFICADA;4;2024;17990834.08
363855;OPERADORA_NAO_IDENTIFICADA;4;2024;835774893.50
423262;OPERADORA_NAO_IDENTIFICADA;4;2024;46493912.24
421146;OPERADORA_NAO_IDENTIFICADA;4;2024;5350105.52
418161;OPERADORA_NAO_IDENTIFICADA;4;2024;486201.12
342386;OPERADORA_NAO_IDENTIFICADA;4;2024;479039908.74
358754;OPERADORA_NAO_IDENTIFICADA;4;2024;778543598.41
325031;OPERADORA_NAO_IDENTIFICADA;4;2024;751850442.74
322326;OPERADORA_NAO_IDENTIFICADA;4;2024;920841101.92
371254;OPERADORA_NAO_IDENTIFICADA;4;2024;8053557358.60
319180;OPERADORA_NAO_IDENTIFICADA;4;2024;509526799.69
347655;OPERADORA_NAO_IDENTIFICADA;4;2024;2034211245.25
335541;OPERADORA_NAO_IDENTIFICADA;4;2024;698831458.86
424005;OPERADORA_NAO_IDENTIFICADA;4;2024;8
304123;OPERADORA_NAO_IDENTIFICADA;4;2024;834646515.94
410110;OPERADORA_NAO_IDENTIFICADA;4;2024;510791947.79
414930;OPERADORA_NAO_IDENTIFICADA;4;2024;820050744.29
345091;OPERADORA_NAO_IDENTIFICADA;4;2024;964564258.19
348244;OPERADORA_NAO_IDENTIFICADA;4;2024;1017956206.55
314668;OPERADORA_NAO_IDENTIFICADA;4;2024;1938055678.28
418196;OPERADORA_NAO_IDENTIFICADA;4;2024;382588.16
353892;OPERADORA_NAO_IDENTIFICADA;4;2024;4672547.36
418986;OPERADORA_NAO_IDENTIFICADA;4;2024;151074331.68
402206;OPERADORA_NAO_IDENTIFICADA;4;2024;226766242.76
312592;OPERADORA_NAO_IDENTIFICADA;4;2024;1258349022.33
424269;OPERADORA_NAO_IDENTIFICADA;4;2024;67200
343765;OPERADORA_NAO_IDENTIFICADA;4;2024;265512015.21
416410;OPERADORA_NAO_IDENTIFICADA;4;2024;2949371.36
420786;OPERADORA_NAO_IDENTIFICADA;4;2024;287427873.80
312363;OPERADORA_NAO_IDENTIFICADA;4;2024;33894322870.02
423998;OPERADORA_NAO_IDENTIFICADA;4;2024;8
421375;OPERADORA_NAO_IDENTIFICADA;4;2024;1048855.92
423491;OPERADORA_NAO_IDENTIFICADA;4;2024;183391.44
316148;OPERADORA_NAO_IDENTIFICADA;4;2024;1666951182.17
413941;OPERADORA_NAO_IDENTIFICADA;4;2024;92546954.24
349682;OPERADORA_NAO_IDENTIFICADA;4;2024;2837970843.69
336467;OPERADORA_NAO_IDENTIFICADA;4;2024;188872183.90
416193;OPERADORA_NAO_IDENTIFICADA;4;2024;21577749.76
382540;OPERADORA_NAO_IDENTIFICADA;4;2024;3396474385.22
417289;OPERADORA_NAO_IDENTIFICADA;4;2024;1929868832.78
370681;OPERADORA_NAO_IDENTIFICADA;4;2024;1842815402.19
344915;OPERADORA_NAO_IDENTIFICADA;4;2024;402938652.45
335258;OPERADORA_NAO_IDENTIFICADA;4;2024;298209241.49
331104;OPERADORA_NAO_IDENTIFICADA;4;2024;45889954.99
327093;OPERADORA_NAO_IDENTIFICADA;4;2024;68008067.53
303291;OPERADORA_NAO_IDENTIFICADA;4;2024;8010999.68
421618;OPERADORA_NAO_IDENTIFICADA;4;2024;58961076.86
351776;OPERADORA_NAO_IDENTIFICADA;4;2024;407110986.44
357022;OPERADORA_NAO_IDENTIFICADA;4;2024;1268874325.33
418731;OPERADORA_NAO_IDENTIFICADA;4;2024;568320117.32
314315;OPERADORA_NAO_IDENTIFICADA;4;2024;186545494.95
419729;OPERADORA_NAO_IDENTIFICADA;4;2024;28183069.53
419150;OPERADORA_NAO_IDENTIFICADA;4;2024;557519538.97
358436;OPERADORA_NAO_IDENTIFICADA;4;2024;276898917.70
371777;OPERADORA_NAO_IDENTIFICADA;4;2024;1500425895.72
315729;OPERADORA_NAO_IDENTIFICADA;4;2024;5900864360.44
419052;OPERADORA_NAO_IDENTIFICADA;4;2024;547240468.00
416835;OPERADORA_NAO_IDENTIFICADA;4;2024;4098655.44
329886;OPERADORA_NAO_IDENTIFICADA;4;2024;1019592988.68
321125;OPERADORA_NAO_IDENTIFICADA;4;2024;234741147.46
421359;OPERADORA_NAO_IDENTIFICADA;4;2024;164977505.95
406554;OPERADORA_NAO_IDENTIFICADA;4;2024;4848572539.47
402966;OPERADORA_NAO_IDENTIFICADA;4;2024;662622199.84
422151;OPERADORA_NAO_IDENTIFICADA;4;2024;143205141.79
330108;OPERADORA_NAO_IDENTIFICADA;4;2024;1191787356.13
311715;OPERADORA_NAO_IDENTIFICADA;4;2024;1598756097.28
416398;OPERADORA_NAO_IDENTIFICADA;4;2024;684260016.14
400556;OPERADORA_NAO_IDENTIFICADA;4;2024;3409110.40
417611;OPERADORA_NAO_IDENTIFICADA;4;2024;1105767.52
323268;OPERADORA_NAO_IDENTIFICADA;4;2024;3591853054.19
423203;OPERADORA_NAO_IDENTIFICADA;4;2024;57519766.44
422053;OPERADORA_NAO_IDENTIFICADA;4;2024;344558093.58
407569;OPERADORA_NAO_IDENTIFICADA;4;2024;67712452.80
418773;OPERADORA_NAO_IDENTIFICADA;4;2024;134296.08
335754;OPERADORA_NAO_IDENTIFICADA;4;2024;885568141.78
411248;OPERADORA_NAO_IDENTIFICADA;4;2024;59061204.29
353663;OPERADORA_NAO_IDENTIFICADA;4;2024;3696551594.59
369659;OPERADORA_NAO_IDENTIFICADA;4;2024;6034046395.57
316849;OPERADORA_NAO_IDENTIFICADA;4;2024;89895921.28
418927;OPERADORA_NAO_IDENTIFICADA;4;2024;8
344681;OPERADORA_NAO_IDENTIFICADA;4;2024;31871575.20
000582;OPERADORA_NAO_IDENTIFICADA;4;2024;47847694856.19
344800;OPERADORA_NAO_IDENTIFICADA;4;2024;2839367365.32
423084;OPERADORA_NAO_IDENTIFICADA;4;2024;17738463.62
367397;OPERADORA_NAO_IDENTIFICADA;4;2024;3504169439.61
407534;OPERADORA_NAO_IDENTIFICADA;4;2024;44308327.76
403962;OPERADORA_NAO_IDENTIFICADA;4;2024;1690698808.56
422584;OPERADORA_NAO_IDENTIFICADA;4;2024;153630544.72
417548;OPERADORA_NAO_IDENTIFICADA;4;2024;1750914935.45
353060;OPERADORA_NAO_IDENTIFICADA;4;2024;2254613643.52
344583;OPERADORA_NAO_IDENTIFICADA;4;2024;5255567.82
352501;OPERADORA_NAO_IDENTIFICADA;4;2024;35304921033.77
324493;OPERADORA_NAO_IDENTIFICADA;4;2024;1806896301.70
423939;OPERADORA_NAO_IDENTIFICADA;4;2024;24
353698;OPERADORA_NAO_IDENTIFICADA;4;2024;320737982.31
418226;OPERADORA_NAO_IDENTIFICADA;4;2024;91543539.41
422738;OPERADORA_NAO_IDENTIFICADA;4;2024;50204.75
423785;OPERADORA_NAO_IDENTIFICADA;4;2024;22047846.68
415952;OPERADORA_NAO_IDENTIFICADA;4;2024;11148068.16
423432;OPERADORA_NAO_IDENTIFICADA;4;2024;15207731.74
409243;OPERADORA_NAO_IDENTIFICADA;4;2024;1655214576.99
408794;OPERADORA_NAO_IDENTIFICADA;4;2024;251353278.57
313751;OPERADORA_NAO_IDENTIFICADA;4;2024;606036307.36
324710;OPERADORA_NAO_IDENTIFICADA;4;2024;168224.20
419141;OPERADORA_NAO_IDENTIFICADA;4;2024;1139897973.62
319350;OPERADORA_NAO_IDENTIFICADA;4;2024;41713203.35
354619;OPERADORA_NAO_IDENTIFICADA;4;2024;517723548.84
324299;OPERADORA_NAO_IDENTIFICADA;4;2024;325512566.45
414701;OPERADORA_NAO_IDENTIFICADA;4;2024;156130359.91
418072;OPERADORA_NAO_IDENTIFICADA;4;2024;52797247.38
346276;OPERADORA_NAO_IDENTIFICADA;4;2024;2886603442.38
387185;OPERADORA_NAO_IDENTIFICADA;4;2024;223927200.78
419486;OPERADORA_NAO_IDENTIFICADA;4;2024;576773643.75
418170;OPERADORA_NAO_IDENTIFICADA;4;2024;2925477231.18
350371;OPERADORA_NAO_IDENTIFICADA;4;2024;2267531249.70
330809;OPERADORA_NAO_IDENTIFICADA;4;2024;810728564.75
422371;OPERADORA_NAO_IDENTIFICADA;4;2024;107899416.78
348520;OPERADORA_NAO_IDENTIFICADA;4;2024;10288839696.64
421324;OPERADORA_NAO_IDENTIFICADA;4;2024;6208316.31
329339;OPERADORA_NAO_IDENTIFICADA;4;2024;3908460865.47
415987;OPERADORA_NAO_IDENTIFICADA;4;2024;72367779.01
423467;OPERADORA_NAO_IDENTIFICADA;4;2024;3248100.16
338346;OPERADORA_NAO_IDENTIFICADA;4;2024;778458851.11
421740;OPERADORA_NAO_IDENTIFICADA;4;2024;101972694.24
419958;OPERADORA_NAO_IDENTIFICADA;4;2024;404211272.45
317896;OPERADORA_NAO_IDENTIFICADA;4;2024;945611332.94
422088;OPERADORA_NAO_IDENTIFICADA;4;2024;74846563.91
343129;OPERADORA_NAO_IDENTIFICADA;4;2024;269575240.95
335789;OPERADORA_NAO_IDENTIFICADA;4;2024;319269721.88
331651;OPERADORA_NAO_IDENTIFICADA;4;2024;1075761315.79
327689;OPERADORA_NAO_IDENTIFICADA;4;2024;9142016001.35
421642;OPERADORA_NAO_IDENTIFICADA;4;2024;2675959.92
388092;OPERADORA_NAO_IDENTIFICADA;4;2024;122293062.10
414921;OPERADORA_NAO_IDENTIFICADA;4;2024;36379764.40
343269;OPERADORA_NAO_IDENTIFICADA;4;2024;9536147424.64
370592;OPERADORA_NAO_IDENTIFICADA;4;2024;208860606.04
310107;OPERADORA_NAO_IDENTIFICADA;4;2024;9101294.42
323993;OPERADORA_NAO_IDENTIFICADA;4;2024;1976132737.39
312720;OPERADORA_NAO_IDENTIFICADA;4;2024;6390595095.35
336025;OPERADORA_NAO_IDENTIFICADA;4;2024;6839290.51
414573;OPERADORA_NAO_IDENTIFICADA;4;2024;620696957.08
334847;OPERADORA_NAO_IDENTIFICADA;4;2024;305021822.10
424145;OPERADORA_NAO_IDENTIFICADA;4;2024;711706.80
317632;OPERADORA_NAO_IDENTIFICADA;4;2024;3222378359.15
421006;OPERADORA_NAO_IDENTIFICADA;4;2024;527866450.82
303267;OPERADORA_NAO_IDENTIFICADA;4;2024;4130097593.16
415260;OPERADORA_NAO_IDENTIFICADA;4;2024;10718012.85
421707;OPERADORA_NAO_IDENTIFICADA;4;2024;131283931.70
419869;OPERADORA_NAO_IDENTIFICADA;4;2024;41708026.80
420964;OPERADORA_NAO_IDENTIFICADA;4;2024;32433144.32
422932;OPERADORA_NAO_IDENTIFICADA;4;2024;32289674.24
417602;OPERADORA_NAO_IDENTIFICADA;4;2024;120091137.28
417831;OPERADORA_NAO_IDENTIFICADA;4;2024;57939690.44
413348;OPERADORA_NAO_IDENTIFICADA;4;2024;8639090.32
313807;OPERADORA_NAO_IDENTIFICADA;4;2024;24382575.28
343676;OPERADORA_NAO_IDENTIFICADA;4;2024;737061629.44
422703;OPERADORA_NAO_IDENTIFICADA;4;2024;3711704.48
410888;OPERADORA_NAO_IDENTIFICADA;4;2024;267677174.72
000701;OPERADORA_NAO_IDENTIFICADA;4;2024;47672263777.46
324175;OPERADORA_NAO_IDENTIFICADA;4;2024;381487306.24
300730;OPERADORA_NAO_IDENTIFICADA;4;2024;78829186.65
360449;OPERADORA_NAO_IDENTIFICADA;4;2024;13813032767.61
333662;OPERADORA_NAO_IDENTIFICADA;4;2024;2031072692.22
305740;OPERADORA_NAO_IDENTIFICADA;4;2024;9150336.88
353752;OPERADORA_NAO_IDENTIFICADA;4;2024;40337722.00
408093;OPERADORA_NAO_IDENTIFICADA;4;2024;46851711.33
314757;OPERADORA_NAO_IDENTIFICADA;4;2024;9017071.52
364584;OPERADORA_NAO_IDENTIFICADA;4;2024;5959629776.74
347108;OPERADORA_NAO_IDENTIFICADA;4;2024;605905080.61
370975;OPERADORA_NAO_IDENTIFICADA;4;2024;550354969.87
320510;OPERADORA_NAO_IDENTIFICADA;4;2024;807637644.42
421081;OPERADORA_NAO_IDENTIFICADA;4;2024;13398255.28
410624;OPERADORA_NAO_IDENTIFICADA;4;2024;119676508.96
357260;OPERADORA_NAO_IDENTIFICADA;4;2024;2392963462.43
415898;OPERADORA_NAO_IDENTIFICADA;4;2024;15844392.17
357669;OPERADORA_NAO_IDENTIFICADA;4;2024;221662870.26
005711;OPERADORA_NAO_IDENTIFICADA;4;2024;309640735544.25
337668;OPERADORA_NAO_IDENTIFICADA;4;2024;5304388476.25
422240;OPERADORA_NAO_IDENTIFICADA;4;2024;1478839.28
406937;OPERADORA_NAO_IDENTIFICADA;4;2024;183485301.79
359033;OPERADORA_NAO_IDENTIFICADA;4;2024;420343669.44
370711;OPERADORA_NAO_IDENTIFICADA;4;2024;65627324.03
374440;OPERADORA_NAO_IDENTIFICADA;4;2024;1338860320.14
323357;OPERADORA_NAO_IDENTIFICADA;4;2024;766054504.83
365777;OPERADORA_NAO_IDENTIFICADA;4;2024;837857675.22
339954;OPERADORA_NAO_IDENTIFICADA;4;2024;10948405190.66
419010;OPERADORA_NAO_IDENTIFICADA;4;2024;3698530363.80
423521;OPERADORA_NAO_IDENTIFICADA;4;2024;8
330281;OPERADORA_NAO_IDENTIFICADA;4;2024;483496214.10
322831;OPERADORA_NAO_IDENTIFICADA;4;2024;976347946.47
421553;OPERADORA_NAO_IDENTIFICADA;4;2024;12925990.23
323004;OPERADORA_NAO_IDENTIFICADA;4;2024;245682509.64
421871;OPERADORA_NAO_IDENTIFICADA;4;2024;102848355.42
306045;OPERADORA_NAO_IDENTIFICADA;4;2024;576904970.69
423556;OPERADORA_NAO_IDENTIFICADA;4;2024;1538821.12
420999;OPERADORA_NAO_IDENTIFICADA;4;2024;170418535.33
350699;OPERADORA_NAO_IDENTIFICADA;4;2024;882907447.14
418200;OPERADORA_NAO_IDENTIFICADA;4;2024;26209704.89
331341;OPERADORA_NAO_IDENTIFICADA;4;2024;2122397310.01
347736;OPERADORA_NAO_IDENTIFICADA;4;2024;446122300.51
340120;OPERADORA_NAO_IDENTIFICADA;4;2024;43875969.89
312282;OPERADORA_NAO_IDENTIFICADA;4;2024;404881928.65
339636;OPERADORA_NAO_IDENTIFICADA;4;2024;747949815.63
300195;OPERADORA_NAO_IDENTIFICADA;4;2024;13602139.12
354686;OPERADORA_NAO_IDENTIFICADA;4;2024;49740605.69
335517;OPERADORA_NAO_IDENTIFICADA;4;2024;858669971.58
360244;OPERADORA_NAO_IDENTIFICADA;4;2024;2648031478.34
359289;OPERADORA_NAO_IDENTIFICADA;4;2024;2721322250.22
407241;OPERADORA_NAO_IDENTIFICADA;4;2024;10731328.24
421197;OPERADORA_NAO_IDENTIFICADA;4;2024;887639619.90
345458;OPERADORA_NAO_IDENTIFICADA;4;2024;733336072.19
351792;OPERADORA_NAO_IDENTIFICADA;4;2024;1087675337.57
348261;OPERADORA_NAO_IDENTIFICADA;4;2024;530140053.75
417785;OPERADORA_NAO_IDENTIFICADA;4;2024;15908390.56
422991;OPERADORA_NAO_IDENTIFICADA;4;2024;2253507.88
370088;OPERADORA_NAO_IDENTIFICADA;4;2024;876178911.74
333808;OPERADORA_NAO_IDENTIFICADA;4;2024;670507913.14
319996;OPERADORA_NAO_IDENTIFICADA;4;2024;13024191549.82
333051;OPERADORA_NAO_IDENTIFICADA;4;2024;3062017337.83
325082;OPERADORA_NAO_IDENTIFICADA;4;2024;158674685.67
304531;OPERADORA_NAO_IDENTIFICADA;4;2024;140248032.90
389854;OPERADORA_NAO_IDENTIFICADA;4;2024;208601300.64
384704;OPERADORA_NAO_IDENTIFICADA;4;2024;317362043.20
336874;OPERADORA_NAO_IDENTIFICADA;4;2024;32181701.33
392804;OPERADORA_NAO_IDENTIFICADA;4;2024;4158936576.18
372561;OPERADORA_NAO_IDENTIFICADA;4;2024;865121023.85
418137;OPERADORA_NAO_IDENTIFICADA;4;2024;268615403.71
423343;OPERADORA_NAO_IDENTIFICADA;4;2024;21510959.28
313149;OPERADORA_NAO_IDENTIFICADA;4;2024;203495156.64
347507;OPERADORA_NAO_IDENTIFICADA;4;2024;2059305007.97
382876;OPERADORA_NAO_IDENTIFICADA;4;2024;24058076336.29
357511;OPERADORA_NAO_IDENTIFICADA;4;2024;9885756090.21
371106;OPERADORA_NAO_IDENTIFICADA;4;2024;2406357914.87
415910;OPERADORA_NAO_IDENTIFICADA;4;2024;26156593.68
419231;OPERADORA_NAO_IDENTIFICADA;4;2024;42496058.48
325236;OPERADORA_NAO_IDENTIFICADA;4;2024;901360713.11
419168;OPERADORA_NAO_IDENTIFICADA;4;2024;12495404.14
337871;OPERADORA_NAO_IDENTIFICADA;4;2024;1859698846.20
419613;OPERADORA_NAO_IDENTIFICADA;4;2024;333522.48
342203;OPERADORA_NAO_IDENTIFICADA;4;2024;234348896.68
359726;OPERADORA_NAO_IDENTIFICADA;4;2024;5453872.32
413194;OPERADORA_NAO_IDENTIFICADA;4;2024;114090466.72
416428;OPERADORA_NAO_IDENTIFICADA;4;2024;5246117125.21
314242;OPERADORA_NAO_IDENTIFICADA;4;2024;439393881.57
364592;OPERADORA_NAO_IDENTIFICADA;4;2024;483478314.14
006246;OPERADORA_NAO_IDENTIFICADA;4;2024;237238124131.39
417301;OPERADORA_NAO_IDENTIFICADA;4;2024;307761381.72
421634;OPERADORA_NAO_IDENTIFICADA;4;2024;42413130.08
304468;OPERADORA_NAO_IDENTIFICADA;4;2024;1256176288.40
406813;OPERADORA_NAO_IDENTIFICADA;4;2024;64395681.47
322890;OPERADORA_NAO_IDENTIFICADA;4;2024;92807166.99
301949;OPERADORA_NAO_IDENTIFICADA;4;2024;13004934674.68
335592;OPERADORA_NAO_IDENTIFICADA;4;2024;11689773396.41
000515;OPERADORA_NAO_IDENTIFICADA;4;2024;708068265.92
302953;OPERADORA_NAO_IDENTIFICADA;4;2024;4487072919.24
423815;OPERADORA_NAO_IDENTIFICADA;4;2024;1806438.00
335690;OPERADORA_NAO_IDENTIFICADA;4;2024;32456212294.03
412635;OPERADORA_NAO_IDENTIFICADA;4;2024;346184116.54
419133;OPERADORA_NAO_IDENTIFICADA;4;2024;4057889506.35
383929;OPERADORA_NAO_IDENTIFICADA;4;2024;39820033.28
422061;OPERADORA_NAO_IDENTIFICADA;4;2024;8
419931;OPERADORA_NAO_IDENTIFICADA;4;2024;3517307.60
351202;OPERADORA_NAO_IDENTIFICADA;4;2024;8373605998.92
344141;OPERADORA_NAO_IDENTIFICADA;4;2024;90318175.57
418749;OPERADORA_NAO_IDENTIFICADA;4;2024;83014941.61
346870;OPERADORA_NAO_IDENTIFICADA;4;2024;203811970.01
422673;OPERADORA_NAO_IDENTIFICADA;4;2024;6202477.28
325465;OPERADORA_NAO_IDENTIFICADA;4;2024;345285021.10
313084;OPERADORA_NAO_IDENTIFICADA;4;2024;498486740.51
401919;OPERADORA_NAO_IDENTIFICADA;4;2024;4456602.24
330566;OPERADORA_NAO_IDENTIFICADA;4;2024;1497120505.80
421545;OPERADORA_NAO_IDENTIFICADA;4;2024;1376499.34
314366;OPERADORA_NAO_IDENTIFICADA;4;2024;54718748.90
421391;OPERADORA_NAO_IDENTIFICADA;4;2024;3295852.24
352519;OPERADORA_NAO_IDENTIFICADA;4;2024;254940430.33
301124;OPERADORA_NAO_IDENTIFICADA;4;2024;530416854.68
307751;OPERADORA_NAO_IDENTIFICADA;4;2024;1131704493.93
316881;OPERADORA_NAO_IDENTIFICADA;4;2024;1328084830.37
423661;OPERADORA_NAO_IDENTIFICADA;4;2024;155293605.36
327867;OPERADORA_NAO_IDENTIFICADA;4;2024;40972684.72
411582;OPERADORA_NAO_IDENTIFICADA;4;2024;643422909.37
418048;OPERADORA_NAO_IDENTIFICADA;4;2024;3839037.32
347825;OPERADORA_NAO_IDENTIFICADA;4;2024;174135049.73
366510;OPERADORA_NAO_IDENTIFICADA;4;2024;7718625.20
333689;OPERADORA_NAO_IDENTIFICADA;4;2024;1947561166.97
320251;OPERADORA_NAO_IDENTIFICADA;4;2024;2564721812.64
